@relation sbir

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute color {C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59}

@data

0.027053,0.037745,0.070704,0.147793,0.288123,0.464301,0.557752,0.644339,0.719190,0.850893,0.965067,1.000000,0.179888,0.342167,0.614113,0.856095,0.942263,0.968167,0.980460,0.985827,0.989428,0.991693,0.993346,1.000000,0.015896,0.132800,0.324011,0.492758,0.592395,0.648945,0.707170,0.763324,0.808474,0.836285,0.854912,1.000000,C22
0.169293,0.264363,0.416734,0.451318,0.472298,0.505204,0.673860,0.825604,0.870769,0.900546,0.932132,1.000000,0.085005,0.222623,0.356347,0.473870,0.576711,0.644980,0.702848,0.752658,0.927697,0.952388,0.965655,1.000000,0.271266,0.426965,0.497493,0.553907,0.595673,0.629495,0.657378,0.688639,0.765518,0.866580,0.941998,1.000000,C35
0.000112,0.000162,0.000356,0.002516,0.014332,0.054014,0.991026,0.999727,0.999942,0.999963,0.999968,1.000000,0.000761,0.010665,0.053366,0.141817,0.377081,0.799401,0.985140,0.991801,0.994530,0.996063,0.996916,1.000000,0.003606,0.012986,0.088159,0.245477,0.386553,0.474348,0.564009,0.628401,0.694221,0.751719,0.826640,1.000000,C51
0.001519,0.003018,0.026153,0.076514,0.143481,0.203669,0.577858,0.994879,0.999427,0.999664,0.999671,1.000000,0.038777,0.245470,0.551949,0.858281,0.946924,0.981788,0.995409,0.997913,0.998792,0.999154,0.999375,1.000000,0.053967,0.197121,0.267361,0.372945,0.527352,0.620375,0.678786,0.765017,0.903565,0.993735,0.999648,1.000000,C35
0.045214,0.108877,0.273376,0.444950,0.641222,0.731980,0.815276,0.937975,0.974712,0.984092,0.988528,1.000000,0.135156,0.342841,0.486444,0.611625,0.726912,0.810416,0.878102,0.909362,0.929896,0.943124,0.954588,1.000000,0.255529,0.489423,0.580223,0.639111,0.679413,0.715288,0.821491,0.899856,0.922335,0.937925,0.949549,1.000000,C39
0.000183,0.000204,0.000223,0.000317,0.000349,0.002540,0.962753,0.999908,0.999963,0.999981,0.999989,1.000000,0.007600,0.011542,0.017998,0.030719,0.090269,0.172524,0.336385,0.588999,0.844931,0.925595,0.962844,1.000000,0.000000,0.000230,0.017090,0.066271,0.153457,0.251251,0.373971,0.494323,0.552702,0.588364,0.693767,1.000000,C35
0.011167,0.018308,0.039842,0.056153,0.073278,0.130794,0.674558,0.957346,0.989932,0.993992,0.995320,1.000000,0.104688,0.344085,0.492045,0.569494,0.762332,0.906914,0.983253,0.993832,0.996013,0.996803,0.997417,1.000000,0.012983,0.120286,0.273373,0.361853,0.427222,0.540002,0.863837,0.947215,0.973474,0.992821,0.999653,1.000000,C35
0.128490,0.199822,0.276599,0.428873,0.715844,0.785199,0.827963,0.870808,0.891733,0.908864,0.930222,1.000000,0.074890,0.209711,0.349355,0.503590,0.654019,0.768983,0.836251,0.873797,0.901129,0.920787,0.937793,1.000000,0.086309,0.236961,0.417275,0.539176,0.622992,0.695084,0.749826,0.806156,0.856804,0.902961,0.939518,1.000000,C41
0.556620,0.642593,0.661757,0.667314,0.669836,0.690897,0.869052,0.953896,0.970973,0.976258,0.979792,1.000000,0.167752,0.654171,0.881463,0.962894,0.991921,0.999017,0.999915,0.999984,0.999994,0.999997,1.000000,1.000000,0.000023,0.026541,0.157873,0.288646,0.410271,0.503994,0.566986,0.695071,0.744052,0.811241,0.909958,1.000000,C2
