@relation sbir_bayes

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute class {arborgreens,australia,barcelona,barcelona2,cambridge,campusinfall,cannonbeach,cherries,columbiagorge,football,geneva,greenlake,greenland,indonesia,iran,italy,japan,leaflesstrees,sanjuans,springflowers,swissmountains,yellowstone}

@data

0.005999,0.012542,0.027077,0.040824,0.098424,0.383469,0.788015,0.972096,0.990263,0.996294,0.997842,1.000000,0.046270,0.103689,0.221731,0.444573,0.759146,0.919802,0.962099,0.977279,0.985617,0.990210,0.993220,1.000000,0.006514,0.084726,0.306132,0.579060,0.769035,0.844285,0.898484,0.936568,0.945785,0.952042,0.957577,1.000000,arborgreens
0.023625,0.040994,0.076879,0.117304,0.246052,0.540790,0.881038,0.964401,0.982247,0.987743,0.991488,1.000000,0.052477,0.155302,0.334955,0.595886,0.803188,0.885705,0.931886,0.951795,0.964668,0.973174,0.979308,1.000000,0.063156,0.434111,0.756448,0.869564,0.903342,0.919632,0.931321,0.940680,0.948504,0.955246,0.961676,1.000000,arborgreens
0.055028,0.167246,0.449472,0.641111,0.772775,0.855998,0.930390,0.963183,0.979597,0.984594,0.988126,1.000000,0.056951,0.232163,0.480300,0.681014,0.807303,0.870866,0.911698,0.932888,0.947462,0.957301,0.964773,1.000000,0.074976,0.342894,0.544745,0.679791,0.762350,0.813583,0.850697,0.879238,0.903835,0.922207,0.937856,1.000000,arborgreens
0.018988,0.048902,0.124742,0.182686,0.292545,0.558329,0.818785,0.927917,0.975970,0.989352,0.994147,1.000000,0.191770,0.379857,0.600298,0.788740,0.901213,0.943095,0.967238,0.978287,0.985147,0.989467,0.992370,1.000000,0.030223,0.133957,0.274586,0.486339,0.664525,0.731799,0.763870,0.784921,0.802408,0.817132,0.832748,1.000000,arborgreens
0.038732,0.082399,0.153216,0.266466,0.446649,0.716624,0.946365,0.978387,0.983633,0.987079,0.990680,1.000000,0.029179,0.111231,0.272489,0.431503,0.550319,0.654604,0.783525,0.887028,0.932775,0.950438,0.960317,1.000000,0.056539,0.237258,0.446908,0.594791,0.679411,0.741268,0.799519,0.852179,0.896586,0.928909,0.953338,1.000000,arborgreens
0.082734,0.333144,0.640647,0.873238,0.964052,0.978132,0.985058,0.987735,0.989572,0.990546,0.992614,1.000000,0.005936,0.035887,0.151767,0.370278,0.554009,0.663637,0.745102,0.794157,0.831420,0.857974,0.879222,1.000000,0.160619,0.290944,0.415976,0.568622,0.755267,0.880826,0.935731,0.961430,0.976093,0.984077,0.989179,1.000000,arborgreens
0.033244,0.083391,0.272738,0.641072,0.892429,0.945743,0.974891,0.982520,0.985667,0.987155,0.989420,1.000000,0.007479,0.033236,0.135547,0.313061,0.447431,0.531118,0.615507,0.673306,0.734481,0.782071,0.829874,1.000000,0.429993,0.531651,0.603982,0.687061,0.785323,0.876104,0.934384,0.965096,0.981974,0.989599,0.993567,1.000000,arborgreens
0.030247,0.067730,0.216647,0.528260,0.827139,0.903174,0.956955,0.985790,0.991144,0.993034,0.994761,1.000000,0.006763,0.040359,0.178852,0.399646,0.568389,0.662769,0.737987,0.785869,0.823315,0.848684,0.870609,1.000000,0.219064,0.368297,0.486985,0.612100,0.743622,0.843167,0.913527,0.953394,0.975397,0.987717,0.994813,1.000000,arborgreens
0.024804,0.059927,0.125611,0.220770,0.453748,0.789218,0.928064,0.960341,0.983053,0.994876,0.997252,1.000000,0.012117,0.034273,0.087590,0.199144,0.408386,0.637797,0.803665,0.872504,0.909926,0.929883,0.944523,1.000000,0.183253,0.553920,0.728594,0.832734,0.892096,0.921340,0.941247,0.956393,0.968421,0.976681,0.982793,1.000000,arborgreens
0.003138,0.010114,0.047060,0.123220,0.440400,0.710241,0.950402,0.997183,0.999459,0.999645,0.999690,1.000000,0.007655,0.050403,0.151077,0.275166,0.436164,0.651315,0.802644,0.862714,0.898121,0.918866,0.935424,1.000000,0.162296,0.392187,0.573173,0.695824,0.751971,0.773717,0.795907,0.820252,0.848505,0.875737,0.905835,1.000000,arborgreens
0.009122,0.031743,0.062620,0.098508,0.234741,0.548936,0.896426,0.983124,0.997690,0.998265,0.998435,1.000000,0.007122,0.032635,0.097151,0.226864,0.455782,0.674792,0.804104,0.859439,0.895316,0.917364,0.933397,1.000000,0.161344,0.432988,0.613649,0.761148,0.854891,0.905709,0.937229,0.955199,0.966723,0.974804,0.982040,1.000000,arborgreens
0.002587,0.006172,0.010959,0.019311,0.094962,0.387623,0.659173,0.981974,0.998034,0.999039,0.999270,1.000000,0.004700,0.020458,0.068431,0.186376,0.407205,0.686922,0.876173,0.927587,0.953905,0.967411,0.976274,1.000000,0.080614,0.305133,0.477017,0.628380,0.724823,0.804377,0.893177,0.966923,0.979476,0.987874,0.993861,1.000000,arborgreens
0.055138,0.139206,0.409094,0.858085,0.964367,0.987861,0.995974,0.997645,0.998488,0.998690,0.998755,1.000000,0.004348,0.014004,0.058277,0.203522,0.434843,0.614578,0.744512,0.813174,0.864331,0.896513,0.923663,1.000000,0.268106,0.440985,0.556817,0.641631,0.728657,0.815224,0.899029,0.955236,0.977620,0.986998,0.992331,1.000000,arborgreens
0.044700,0.079887,0.130661,0.178896,0.293010,0.513944,0.845597,0.940730,0.966826,0.975345,0.981352,1.000000,0.070504,0.208212,0.408491,0.639497,0.822564,0.903985,0.949226,0.966973,0.976720,0.982533,0.986391,1.000000,0.085020,0.518581,0.795994,0.886337,0.915175,0.929594,0.940016,0.948391,0.955420,0.961096,0.966899,1.000000,arborgreens
0.034496,0.148743,0.481746,0.668301,0.833706,0.929235,0.976313,0.990095,0.995606,0.996643,0.997034,1.000000,0.017518,0.062783,0.151470,0.267222,0.416976,0.547107,0.671590,0.732310,0.793661,0.840506,0.887266,1.000000,0.810072,0.926996,0.950425,0.963815,0.973424,0.979940,0.984544,0.988299,0.991147,0.993155,0.994834,1.000000,arborgreens
0.071853,0.217041,0.395741,0.600327,0.851392,0.928235,0.965524,0.989326,0.993646,0.994682,0.995307,1.000000,0.013245,0.040207,0.089508,0.177831,0.319523,0.468904,0.627110,0.705874,0.767190,0.810757,0.856410,1.000000,0.621346,0.902200,0.946250,0.964493,0.973085,0.977833,0.981090,0.983638,0.985861,0.987767,0.989633,1.000000,arborgreens
0.183794,0.289120,0.421965,0.531864,0.665527,0.764243,0.847959,0.900077,0.932014,0.943809,0.951585,1.000000,0.110250,0.314510,0.562321,0.778604,0.883786,0.930175,0.958018,0.971442,0.979476,0.984512,0.987966,1.000000,0.055815,0.450024,0.790060,0.884605,0.919010,0.936187,0.947654,0.955643,0.961897,0.966962,0.971941,1.000000,arborgreens
0.004836,0.011015,0.035126,0.061544,0.161273,0.618706,0.944969,0.996026,0.998483,0.999469,0.999606,1.000000,0.108224,0.149659,0.250430,0.454664,0.781520,0.948898,0.982507,0.992522,0.996081,0.997572,0.998359,1.000000,0.011744,0.151410,0.302372,0.548251,0.831944,0.860762,0.871081,0.877697,0.883180,0.887413,0.891460,1.000000,arborgreens
0.000845,0.002367,0.009387,0.023082,0.187877,0.646825,0.975673,0.996325,0.999063,0.999671,0.999779,1.000000,0.009797,0.035415,0.131729,0.377779,0.748614,0.939413,0.976550,0.988027,0.993163,0.995787,0.997270,1.000000,0.009566,0.096385,0.282937,0.562465,0.842592,0.935864,0.971151,0.982381,0.986628,0.988948,0.990864,1.000000,arborgreens
0.001587,0.004438,0.010839,0.025854,0.169679,0.625031,0.941365,0.991564,0.997971,0.999026,0.999351,1.000000,0.010718,0.063982,0.222190,0.520358,0.864407,0.966477,0.987307,0.993239,0.995785,0.997107,0.997939,1.000000,0.016513,0.094424,0.251522,0.510791,0.790601,0.934930,0.975132,0.987231,0.992690,0.995341,0.996708,1.000000,arborgreens
0.053542,0.095266,0.178022,0.312523,0.502246,0.715949,0.957133,0.978219,0.983287,0.985956,0.988536,1.000000,0.016649,0.090949,0.269308,0.459259,0.600573,0.705304,0.808376,0.886560,0.922550,0.941528,0.953100,1.000000,0.115816,0.320103,0.445013,0.524806,0.597579,0.663433,0.724043,0.774959,0.816284,0.846531,0.869758,1.000000,arborgreens
0.003422,0.005724,0.010498,0.018508,0.131931,0.504041,0.851906,0.965697,0.989431,0.996123,0.998246,1.000000,0.052794,0.089269,0.139038,0.267248,0.574556,0.875086,0.959516,0.980657,0.989473,0.993318,0.995614,1.000000,0.046228,0.267988,0.513217,0.747325,0.861176,0.931009,0.944116,0.948318,0.950646,0.952457,0.954123,1.000000,arborgreens
0.005842,0.018261,0.038010,0.054760,0.201669,0.450320,0.926406,0.993680,0.998451,0.999086,0.999265,1.000000,0.016555,0.040698,0.090807,0.204601,0.406462,0.639119,0.825693,0.912079,0.966576,0.982814,0.989076,1.000000,0.142447,0.518324,0.874818,0.932720,0.954071,0.963138,0.969587,0.974274,0.978158,0.981184,0.983636,1.000000,arborgreens
0.027893,0.082758,0.191914,0.290278,0.597413,0.839616,0.949769,0.967099,0.981108,0.987013,0.990286,1.000000,0.025728,0.111339,0.278384,0.520413,0.750577,0.871882,0.933353,0.954871,0.967857,0.975550,0.981339,1.000000,0.231014,0.670847,0.914081,0.982565,0.994562,0.997265,0.998304,0.998871,0.999233,0.999454,0.999603,1.000000,arborgreens
0.036698,0.121512,0.320042,0.430917,0.618848,0.806361,0.867835,0.942898,0.981596,0.987090,0.988956,1.000000,0.107780,0.318142,0.569709,0.806862,0.937106,0.963739,0.977387,0.984027,0.988095,0.990378,0.991990,1.000000,0.064027,0.286682,0.594810,0.696302,0.760445,0.805030,0.840616,0.867974,0.898386,0.916126,0.928912,1.000000,arborgreens
0.015243,0.054143,0.136975,0.272271,0.416622,0.701289,0.982148,0.991953,0.993766,0.994798,0.996341,1.000000,0.019699,0.078383,0.211797,0.355478,0.514059,0.735580,0.891809,0.937867,0.958692,0.967038,0.972180,1.000000,0.048527,0.336629,0.594437,0.704351,0.757485,0.801503,0.842036,0.878459,0.909430,0.934618,0.957740,1.000000,arborgreens
0.002335,0.007915,0.034320,0.141101,0.520116,0.894074,0.995029,0.998383,0.999128,0.999356,0.999553,1.000000,0.002627,0.017266,0.093547,0.269673,0.479164,0.667787,0.822441,0.896497,0.934754,0.954853,0.968209,1.000000,0.170795,0.367567,0.539490,0.741858,0.851271,0.905415,0.944578,0.969574,0.983292,0.990378,0.994890,1.000000,arborgreens
