@relation sbir_new-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last

@attribute feature1 {'\'(-inf-0.072886]\'','\'(0.072886-0.145772]\'','\'(0.145772-0.218658]\'','\'(0.218658-0.291544]\'','\'(0.291544-0.364431]\'','\'(0.364431-0.437317]\'','\'(0.437317-0.510203]\'','\'(0.510203-inf)\''}
@attribute feature2 {'\'(-inf-0.082601]\'','\'(0.082601-0.165201]\'','\'(0.165201-0.247802]\'','\'(0.247802-0.330402]\'','\'(0.330402-0.413003]\'','\'(0.413003-0.495604]\'','\'(0.495604-0.578204]\'','\'(0.578204-0.660805]\'','\'(0.660805-0.743405]\'','\'(0.743405-inf)\''}
@attribute feature3 {'\'(-inf-0.095772]\'','\'(0.095772-0.191541]\'','\'(0.191541-0.287311]\'','\'(0.287311-0.38308]\'','\'(0.38308-0.47885]\'','\'(0.47885-0.574619]\'','\'(0.574619-0.670389]\'','\'(0.670389-0.766158]\'','\'(0.766158-0.861928]\'','\'(0.861928-inf)\''}
@attribute feature4 {'\'(-inf-0.099215]\'','\'(0.099215-0.198427]\'','\'(0.198427-0.29764]\'','\'(0.29764-0.396853]\'','\'(0.396853-0.496066]\'','\'(0.496066-0.595278]\'','\'(0.595278-0.694491]\'','\'(0.694491-inf)\''}
@attribute feature5 {'\'(-inf-0.09948]\'','\'(0.09948-0.198958]\'','\'(0.198958-0.298436]\'','\'(0.298436-inf)\''}
@attribute feature6 {'\'(-inf-0.099589]\'','\'(0.099589-0.199162]\'','\'(0.199162-0.298736]\'','\'(0.298736-0.39831]\'','\'(0.39831-inf)\''}
@attribute feature7 {'\'(-inf-0.241225]\'','\'(0.241225-0.32539]\'','\'(0.32539-0.409554]\'','\'(0.409554-0.493719]\'','\'(0.493719-0.577884]\'','\'(0.577884-inf)\''}
@attribute feature8 {'\'(-inf-0.293296]\'','\'(0.293296-0.371818]\'','\'(0.371818-0.450341]\'','\'(0.450341-0.528864]\'','\'(0.528864-0.607387]\'','\'(0.607387-0.685909]\'','\'(0.685909-0.764432]\'','\'(0.764432-0.842955]\'','\'(0.842955-0.921477]\'','\'(0.921477-inf)\''}
@attribute feature9 {'\'(-inf-0.358565]\'','\'(0.358565-0.429835]\'','\'(0.429835-0.501106]\'','\'(0.501106-0.572376]\'','\'(0.572376-0.643647]\'','\'(0.643647-0.714918]\'','\'(0.714918-0.786188]\'','\'(0.786188-0.857459]\'','\'(0.857459-0.928729]\'','\'(0.928729-inf)\''}
@attribute feature10 {'\'(-inf-0.421287]\'','\'(0.421287-0.485588]\'','\'(0.485588-0.549889]\'','\'(0.549889-0.614191]\'','\'(0.614191-0.678493]\'','\'(0.678493-0.742794]\'','\'(0.742794-0.807096]\'','\'(0.807096-0.871397]\'','\'(0.871397-0.935699]\'','\'(0.935699-inf)\''}
@attribute feature11 {'\'(-inf-0.492814]\'','\'(0.492814-0.549168]\'','\'(0.549168-0.605522]\'','\'(0.605522-0.661876]\'','\'(0.661876-0.71823]\'','\'(0.71823-inf)\''}
@attribute feature12 {'\'All\''}
@attribute feature13 {'\'(-inf-0.085794]\'','\'(0.085794-0.171588]\'','\'(0.171588-0.257382]\'','\'(0.257382-0.343176]\'','\'(0.343176-0.42897]\'','\'(0.42897-0.514763]\'','\'(0.514763-inf)\''}
@attribute feature14 {'\'(-inf-0.093621]\'','\'(0.093621-0.187241]\'','\'(0.187241-0.280862]\'','\'(0.280862-0.374483]\'','\'(0.374483-inf)\''}
@attribute feature15 {'\'(-inf-0.097621]\'','\'(0.097621-0.195233]\'','\'(0.195233-0.292844]\'','\'(0.292844-0.390456]\'','\'(0.390456-0.488067]\'','\'(0.488067-0.585678]\'','\'(0.585678-0.68329]\'','\'(0.68329-0.780901]\'','\'(0.780901-inf)\''}
@attribute feature16 {'\'(-inf-0.099957]\'','\'(0.099957-0.19981]\'','\'(0.19981-0.299663]\'','\'(0.299663-0.399516]\'','\'(0.399516-0.49937]\'','\'(0.49937-0.599223]\'','\'(0.599223-0.699076]\'','\'(0.699076-0.798929]\'','\'(0.798929-inf)\''}
@attribute feature17 {'\'(-inf-0.104342]\'','\'(0.104342-0.203833]\'','\'(0.203833-0.303325]\'','\'(0.303325-0.402816]\'','\'(0.402816-0.502308]\'','\'(0.502308-0.6018]\'','\'(0.6018-0.701291]\'','\'(0.701291-inf)\''}
@attribute feature18 {'\'(-inf-0.141072]\'','\'(0.141072-0.236507]\'','\'(0.236507-0.331942]\'','\'(0.331942-0.427377]\'','\'(0.427377-0.522812]\'','\'(0.522812-0.618247]\'','\'(0.618247-0.713682]\'','\'(0.713682-0.809117]\'','\'(0.809117-0.904552]\'','\'(0.904552-inf)\''}
@attribute feature19 {'\'(-inf-0.271402]\'','\'(0.271402-0.352358]\'','\'(0.352358-0.433313]\'','\'(0.433313-0.514268]\'','\'(0.514268-0.595224]\'','\'(0.595224-0.676179]\'','\'(0.676179-0.757134]\'','\'(0.757134-0.838089]\'','\'(0.838089-inf)\''}
@attribute feature20 {'\'(-inf-0.538971]\'','\'(0.538971-0.590197]\'','\'(0.590197-0.641422]\'','\'(0.641422-0.692648]\'','\'(0.692648-0.743873]\'','\'(0.743873-0.795098]\'','\'(0.795098-0.846324]\'','\'(0.846324-0.897549]\'','\'(0.897549-0.948775]\'','\'(0.948775-inf)\''}
@attribute feature21 {'\'(-inf-0.603191]\'','\'(0.603191-0.647281]\'','\'(0.647281-0.691371]\'','\'(0.691371-0.735461]\'','\'(0.735461-0.779551]\'','\'(0.779551-0.82364]\'','\'(0.82364-inf)\''}
@attribute feature22 {'\'(-inf-0.692113]\'','\'(0.692113-0.726322]\'','\'(0.726322-0.760532]\'','\'(0.760532-0.794742]\'','\'(0.794742-0.828952]\'','\'(0.828952-inf)\''}
@attribute feature23 {'\'(-inf-0.746936]\'','\'(0.746936-0.775054]\'','\'(0.775054-0.803173]\'','\'(0.803173-0.831291]\'','\'(0.831291-0.859409]\'','\'(0.859409-0.887527]\'','\'(0.887527-0.915645]\'','\'(0.915645-inf)\''}
@attribute feature24 {'\'All\''}
@attribute feature25 {'\'(-inf-0.081007]\'','\'(0.081007-0.162014]\'','\'(0.162014-0.243022]\'','\'(0.243022-inf)\''}
@attribute feature26 {'\'(-inf-0.0927]\'','\'(0.0927-0.185399]\'','\'(0.185399-0.278099]\'','\'(0.278099-0.370798]\'','\'(0.370798-inf)\''}
@attribute feature27 {'\'(-inf-0.095058]\'','\'(0.095058-0.190099]\'','\'(0.190099-0.285139]\'','\'(0.285139-0.38018]\'','\'(0.38018-0.475221]\'','\'(0.475221-inf)\''}
@attribute feature28 {'\'(-inf-0.098439]\'','\'(0.098439-0.196675]\'','\'(0.196675-0.294912]\'','\'(0.294912-0.393148]\'','\'(0.393148-0.491384]\'','\'(0.491384-0.58962]\'','\'(0.58962-0.687856]\'','\'(0.687856-0.786093]\'','\'(0.786093-0.884329]\'','\'(0.884329-inf)\''}
@attribute feature29 {'\'(-inf-0.100142]\'','\'(0.100142-0.199522]\'','\'(0.199522-0.298902]\'','\'(0.298902-0.398282]\'','\'(0.398282-0.497662]\'','\'(0.497662-0.597042]\'','\'(0.597042-0.696422]\'','\'(0.696422-inf)\''}
@attribute feature30 {'\'(-inf-0.102205]\'','\'(0.102205-0.201656]\'','\'(0.201656-0.301107]\'','\'(0.301107-0.400558]\'','\'(0.400558-0.50001]\'','\'(0.50001-0.599461]\'','\'(0.599461-0.698912]\'','\'(0.698912-inf)\''}
@attribute feature31 {'\'(-inf-0.13898]\'','\'(0.13898-0.234461]\'','\'(0.234461-0.329941]\'','\'(0.329941-0.425422]\'','\'(0.425422-0.520902]\'','\'(0.520902-0.616382]\'','\'(0.616382-inf)\''}
@attribute feature32 {'\'(-inf-0.163681]\'','\'(0.163681-0.25648]\'','\'(0.25648-0.349279]\'','\'(0.349279-inf)\''}
@attribute feature33 {'\'(-inf-0.282352]\'','\'(0.282352-0.362082]\'','\'(0.362082-0.441813]\'','\'(0.441813-inf)\''}
@attribute feature34 {'\'(-inf-0.520162]\'','\'(0.520162-0.573478]\'','\'(0.573478-0.626793]\'','\'(0.626793-0.680108]\'','\'(0.680108-0.733424]\'','\'(0.733424-0.786739]\'','\'(0.786739-0.840054]\'','\'(0.840054-0.893369]\'','\'(0.893369-0.946685]\'','\'(0.946685-inf)\''}
@attribute feature35 {'\'(-inf-0.580399]\'','\'(0.580399-0.627022]\'','\'(0.627022-0.673644]\'','\'(0.673644-0.720266]\'','\'(0.720266-0.766889]\'','\'(0.766889-0.813511]\'','\'(0.813511-0.860133]\'','\'(0.860133-0.906755]\'','\'(0.906755-0.953378]\'','\'(0.953378-inf)\''}
@attribute feature36 {'\'All\''}
@attribute color {C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59}
@attribute theme {arborgreens,australia,barcelona,barcelona2,cambridge,campusinfall,cannonbeach,cherries,columbiagorge,football,geneva,greenlake,greenland,indonesia,iran,italy,japan,leaflesstrees,sanjuans,springflowers,swissmountains,yellowstone}

@data
'\'(-inf-0.072886]\'','\'(-inf-0.082601]\'','\'(-inf-0.095772]\'','\'(0.099215-0.198427]\'','\'(0.198958-0.298436]\'','\'(0.39831-inf)\'','\'(0.493719-0.577884]\'','\'(0.607387-0.685909]\'','\'(0.714918-0.786188]\'','\'(0.807096-0.871397]\'','\'(0.71823-inf)\'','\'All\'','\'(0.171588-0.257382]\'','\'(0.280862-0.374483]\'','\'(0.585678-0.68329]\'','\'(0.798929-inf)\'','\'(0.701291-inf)\'','\'(0.904552-inf)\'','\'(0.838089-inf)\'','\'(0.948775-inf)\'','\'(0.82364-inf)\'','\'(0.828952-inf)\'','\'(0.915645-inf)\'','\'All\'','\'(-inf-0.081007]\'','\'(0.0927-0.185399]\'','\'(0.285139-0.38018]\'','\'(0.491384-0.58962]\'','\'(0.497662-0.597042]\'','\'(0.599461-0.698912]\'','\'(0.616382-inf)\'','\'(0.349279-inf)\'','\'(0.441813-inf)\'','\'(0.786739-0.840054]\'','\'(0.813511-0.860133]\'','\'All\'',C22,cherries
'\'(0.145772-0.218658]\'','\'(0.247802-0.330402]\'','\'(0.38308-0.47885]\'','\'(0.396853-0.496066]\'','\'(0.298436-inf)\'','\'(0.39831-inf)\'','\'(0.577884-inf)\'','\'(0.764432-0.842955]\'','\'(0.857459-0.928729]\'','\'(0.871397-0.935699]\'','\'(0.71823-inf)\'','\'All\'','\'(-inf-0.085794]\'','\'(0.187241-0.280862]\'','\'(0.292844-0.390456]\'','\'(0.399516-0.49937]\'','\'(0.502308-0.6018]\'','\'(0.618247-0.713682]\'','\'(0.676179-0.757134]\'','\'(0.743873-0.795098]\'','\'(0.82364-inf)\'','\'(0.828952-inf)\'','\'(0.915645-inf)\'','\'All\'','\'(0.243022-inf)\'','\'(0.370798-inf)\'','\'(0.475221-inf)\'','\'(0.491384-0.58962]\'','\'(0.497662-0.597042]\'','\'(0.599461-0.698912]\'','\'(0.616382-inf)\'','\'(0.349279-inf)\'','\'(0.441813-inf)\'','\'(0.840054-0.893369]\'','\'(0.906755-0.953378]\'','\'All\'',C35,campusinfall
'\'(-inf-0.072886]\'','\'(-inf-0.082601]\'','\'(-inf-0.095772]\'','\'(-inf-0.099215]\'','\'(-inf-0.09948]\'','\'(-inf-0.099589]\'','\'(0.577884-inf)\'','\'(0.921477-inf)\'','\'(0.928729-inf)\'','\'(0.935699-inf)\'','\'(0.71823-inf)\'','\'All\'','\'(-inf-0.085794]\'','\'(-inf-0.093621]\'','\'(-inf-0.097621]\'','\'(0.099957-0.19981]\'','\'(0.303325-0.402816]\'','\'(0.713682-0.809117]\'','\'(0.838089-inf)\'','\'(0.948775-inf)\'','\'(0.82364-inf)\'','\'(0.828952-inf)\'','\'(0.915645-inf)\'','\'All\'','\'(-inf-0.081007]\'','\'(-inf-0.0927]\'','\'(-inf-0.095058]\'','\'(0.196675-0.294912]\'','\'(0.298902-0.398282]\'','\'(0.400558-0.50001]\'','\'(0.520902-0.616382]\'','\'(0.349279-inf)\'','\'(0.441813-inf)\'','\'(0.733424-0.786739]\'','\'(0.813511-0.860133]\'','\'All\'',C51,greenlake
'\'(-inf-0.072886]\'','\'(-inf-0.082601]\'','\'(-inf-0.095772]\'','\'(-inf-0.099215]\'','\'(0.09948-0.198958]\'','\'(0.199162-0.298736]\'','\'(0.493719-0.577884]\'','\'(0.921477-inf)\'','\'(0.928729-inf)\'','\'(0.935699-inf)\'','\'(0.71823-inf)\'','\'All\'','\'(-inf-0.085794]\'','\'(0.187241-0.280862]\'','\'(0.488067-0.585678]\'','\'(0.798929-inf)\'','\'(0.701291-inf)\'','\'(0.904552-inf)\'','\'(0.838089-inf)\'','\'(0.948775-inf)\'','\'(0.82364-inf)\'','\'(0.828952-inf)\'','\'(0.915645-inf)\'','\'All\'','\'(-inf-0.081007]\'','\'(0.185399-0.278099]\'','\'(0.190099-0.285139]\'','\'(0.294912-0.393148]\'','\'(0.497662-0.597042]\'','\'(0.599461-0.698912]\'','\'(0.616382-inf)\'','\'(0.349279-inf)\'','\'(0.441813-inf)\'','\'(0.946685-inf)\'','\'(0.953378-inf)\'','\'All\'',C35,yellowstone
'\'(-inf-0.072886]\'','\'(0.082601-0.165201]\'','\'(0.191541-0.287311]\'','\'(0.396853-0.496066]\'','\'(0.298436-inf)\'','\'(0.39831-inf)\'','\'(0.577884-inf)\'','\'(0.921477-inf)\'','\'(0.928729-inf)\'','\'(0.935699-inf)\'','\'(0.71823-inf)\'','\'All\'','\'(0.085794-0.171588]\'','\'(0.280862-0.374483]\'','\'(0.390456-0.488067]\'','\'(0.599223-0.699076]\'','\'(0.701291-inf)\'','\'(0.809117-0.904552]\'','\'(0.838089-inf)\'','\'(0.897549-0.948775]\'','\'(0.82364-inf)\'','\'(0.828952-inf)\'','\'(0.915645-inf)\'','\'All\'','\'(0.243022-inf)\'','\'(0.370798-inf)\'','\'(0.475221-inf)\'','\'(0.58962-0.687856]\'','\'(0.597042-0.696422]\'','\'(0.698912-inf)\'','\'(0.616382-inf)\'','\'(0.349279-inf)\'','\'(0.441813-inf)\'','\'(0.893369-0.946685]\'','\'(0.906755-0.953378]\'','\'All\'',C39,springflowers
'\'(-inf-0.072886]\'','\'(-inf-0.082601]\'','\'(-inf-0.095772]\'','\'(-inf-0.099215]\'','\'(-inf-0.09948]\'','\'(-inf-0.099589]\'','\'(0.577884-inf)\'','\'(0.921477-inf)\'','\'(0.928729-inf)\'','\'(0.935699-inf)\'','\'(0.71823-inf)\'','\'All\'','\'(-inf-0.085794]\'','\'(-inf-0.093621]\'','\'(-inf-0.097621]\'','\'(-inf-0.099957]\'','\'(-inf-0.104342]\'','\'(0.141072-0.236507]\'','\'(0.271402-0.352358]\'','\'(0.538971-0.590197]\'','\'(0.82364-inf)\'','\'(0.828952-inf)\'','\'(0.915645-inf)\'','\'All\'','\'(-inf-0.081007]\'','\'(-inf-0.0927]\'','\'(-inf-0.095058]\'','\'(-inf-0.098439]\'','\'(0.100142-0.199522]\'','\'(0.201656-0.301107]\'','\'(0.329941-0.425422]\'','\'(0.349279-inf)\'','\'(0.441813-inf)\'','\'(0.573478-0.626793]\'','\'(0.673644-0.720266]\'','\'All\'',C35,sanjuans
'\'(-inf-0.072886]\'','\'(-inf-0.082601]\'','\'(-inf-0.095772]\'','\'(-inf-0.099215]\'','\'(-inf-0.09948]\'','\'(0.099589-0.199162]\'','\'(0.577884-inf)\'','\'(0.921477-inf)\'','\'(0.928729-inf)\'','\'(0.935699-inf)\'','\'(0.71823-inf)\'','\'All\'','\'(0.085794-0.171588]\'','\'(0.280862-0.374483]\'','\'(0.488067-0.585678]\'','\'(0.49937-0.599223]\'','\'(0.701291-inf)\'','\'(0.904552-inf)\'','\'(0.838089-inf)\'','\'(0.948775-inf)\'','\'(0.82364-inf)\'','\'(0.828952-inf)\'','\'(0.915645-inf)\'','\'All\'','\'(-inf-0.081007]\'','\'(0.0927-0.185399]\'','\'(0.190099-0.285139]\'','\'(0.294912-0.393148]\'','\'(0.398282-0.497662]\'','\'(0.50001-0.599461]\'','\'(0.616382-inf)\'','\'(0.349279-inf)\'','\'(0.441813-inf)\'','\'(0.946685-inf)\'','\'(0.953378-inf)\'','\'All\'',C35,yellowstone
'\'(0.072886-0.145772]\'','\'(0.165201-0.247802]\'','\'(0.191541-0.287311]\'','\'(0.396853-0.496066]\'','\'(0.298436-inf)\'','\'(0.39831-inf)\'','\'(0.577884-inf)\'','\'(0.842955-0.921477]\'','\'(0.857459-0.928729]\'','\'(0.871397-0.935699]\'','\'(0.71823-inf)\'','\'All\'','\'(-inf-0.085794]\'','\'(0.187241-0.280862]\'','\'(0.292844-0.390456]\'','\'(0.49937-0.599223]\'','\'(0.6018-0.701291]\'','\'(0.713682-0.809117]\'','\'(0.757134-0.838089]\'','\'(0.846324-0.897549]\'','\'(0.82364-inf)\'','\'(0.828952-inf)\'','\'(0.915645-inf)\'','\'All\'','\'(0.081007-0.162014]\'','\'(0.185399-0.278099]\'','\'(0.38018-0.475221]\'','\'(0.491384-0.58962]\'','\'(0.597042-0.696422]\'','\'(0.599461-0.698912]\'','\'(0.616382-inf)\'','\'(0.349279-inf)\'','\'(0.441813-inf)\'','\'(0.893369-0.946685]\'','\'(0.906755-0.953378]\'','\'All\'',C41,springflowers
'\'(0.510203-inf)\'','\'(0.578204-0.660805]\'','\'(0.574619-0.670389]\'','\'(0.595278-0.694491]\'','\'(0.298436-inf)\'','\'(0.39831-inf)\'','\'(0.577884-inf)\'','\'(0.921477-inf)\'','\'(0.928729-inf)\'','\'(0.935699-inf)\'','\'(0.71823-inf)\'','\'All\'','\'(0.085794-0.171588]\'','\'(0.374483-inf)\'','\'(0.780901-inf)\'','\'(0.798929-inf)\'','\'(0.701291-inf)\'','\'(0.904552-inf)\'','\'(0.838089-inf)\'','\'(0.948775-inf)\'','\'(0.82364-inf)\'','\'(0.828952-inf)\'','\'(0.915645-inf)\'','\'All\'','\'(-inf-0.081007]\'','\'(-inf-0.0927]\'','\'(0.095058-0.190099]\'','\'(0.196675-0.294912]\'','\'(0.398282-0.497662]\'','\'(0.50001-0.599461]\'','\'(0.520902-0.616382]\'','\'(0.349279-inf)\'','\'(0.441813-inf)\'','\'(0.786739-0.840054]\'','\'(0.906755-0.953378]\'','\'All\'',C2,swissmountains
'\'(-inf-0.072886]\'','\'(0.082601-0.165201]\'','\'(0.095772-0.191541]\'','\'(0.198427-0.29764]\'','\'(0.198958-0.298436]\'','\'(0.199162-0.298736]\'','\'(0.409554-0.493719]\'','\'(0.685909-0.764432]\'','\'(0.857459-0.928729]\'','\'(0.871397-0.935699]\'','\'(0.71823-inf)\'','\'All\'','\'(0.085794-0.171588]\'','\'(0.374483-inf)\'','\'(0.585678-0.68329]\'','\'(0.798929-inf)\'','\'(0.701291-inf)\'','\'(0.904552-inf)\'','\'(0.838089-inf)\'','\'(0.948775-inf)\'','\'(0.82364-inf)\'','\'(0.828952-inf)\'','\'(0.915645-inf)\'','\'All\'','\'(0.081007-0.162014]\'','\'(0.185399-0.278099]\'','\'(0.285139-0.38018]\'','\'(0.393148-0.491384]\'','\'(0.398282-0.497662]\'','\'(0.50001-0.599461]\'','\'(0.520902-0.616382]\'','\'(0.349279-inf)\'','\'(0.441813-inf)\'','\'(0.680108-0.733424]\'','\'(0.766889-0.813511]\'','\'All\'',C22,cherries
