@relation InstanceResultListener

@attribute Key_Dataset {sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,sbir_new-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.misc.OLM,weka.classifiers.meta.ClassificationViaRegression,weka.classifiers.lazy.LBR,weka.classifiers.functions.LibSVM,weka.classifiers.bayes.HNB}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-S 1 -C REG -A MEAN -N EUCL -E MIN','-W weka.classifiers.trees.M5P -- -M 4.0','','-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.0010 -P 0.1'}
@attribute Key_Scheme_version_ID {-217733168393644444,3722951802290935192,4500023123618669859,5648559277738985156,14172,-4503874444306113214}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 712\nSize of the tree: 799\n','Number of leaves: 688\nSize of the tree: 773\n','Number of leaves: 696\nSize of the tree: 782\n','Number of leaves: 683\nSize of the tree: 767\n','Number of leaves: 658\nSize of the tree: 740\n','Number of leaves: 772\nSize of the tree: 866\n','Number of leaves: 703\nSize of the tree: 790\n','Number of leaves: 691\nSize of the tree: 776\n','Number of leaves: 752\nSize of the tree: 846\n','Number of leaves: 740\nSize of the tree: 833\n','Number of leaves: 750\nSize of the tree: 843\n','Number of leaves: 668\nSize of the tree: 752\n','Number of leaves: 721\nSize of the tree: 810\n','Number of leaves: 760\nSize of the tree: 853\n','Number of leaves: 630\nSize of the tree: 709\n','Number of leaves: 665\nSize of the tree: 747\n','Number of leaves: 737\nSize of the tree: 826\n','Number of leaves: 682\nSize of the tree: 766\n','Number of leaves: 685\nSize of the tree: 771\n','Number of leaves: 702\nSize of the tree: 788\n','Number of leaves: 718\nSize of the tree: 807\n','Number of leaves: 692\nSize of the tree: 777\n','Number of leaves: 683\nSize of the tree: 768\n','Number of leaves: 747\nSize of the tree: 838\n','Number of leaves: 767\nSize of the tree: 863\n','Number of leaves: 699\nSize of the tree: 787\n','Number of leaves: 685\nSize of the tree: 769\n','Number of leaves: 785\nSize of the tree: 881\n','Number of leaves: 723\nSize of the tree: 813\n','Number of leaves: 678\nSize of the tree: 763\n','Number of leaves: 735\nSize of the tree: 825\n','Number of leaves: 748\nSize of the tree: 840\n','Number of leaves: 741\nSize of the tree: 832\n','Number of leaves: 811\nSize of the tree: 913\n','Number of leaves: 719\nSize of the tree: 809\n','Number of leaves: 758\nSize of the tree: 850\n','Number of leaves: 655\nSize of the tree: 737\n','Number of leaves: 700\nSize of the tree: 786\n','Number of leaves: 680\nSize of the tree: 765\n','Number of leaves: 693\nSize of the tree: 778\n','Number of leaves: 747\nSize of the tree: 839\n','Number of leaves: 694\nSize of the tree: 779\n','Number of leaves: 673\nSize of the tree: 756\n','Number of leaves: 743\nSize of the tree: 835\n','Number of leaves: 640\nSize of the tree: 720\n','Number of leaves: 721\nSize of the tree: 812\n','Number of leaves: 705\nSize of the tree: 792\n','Number of leaves: 784\nSize of the tree: 882\n','Number of leaves: 667\nSize of the tree: 749\n','Number of leaves: 715\nSize of the tree: 803\n','Number of leaves: 778\nSize of the tree: 874\n','Number of leaves: 650\nSize of the tree: 733\n','Number of leaves: 765\nSize of the tree: 861\n','Number of leaves: 703\nSize of the tree: 791\n','Number of leaves: 726\nSize of the tree: 816\n','Number of leaves: 687\nSize of the tree: 774\n','Number of leaves: 717\nSize of the tree: 806\n','Number of leaves: 763\nSize of the tree: 856\n','Number of leaves: 722\nSize of the tree: 813\n','Number of leaves: 721\nSize of the tree: 808\n','Number of leaves: 751\nSize of the tree: 844\n','Number of leaves: 667\nSize of the tree: 748\n','Number of leaves: 732\nSize of the tree: 822\n','Number of leaves: 677\nSize of the tree: 760\n','Number of leaves: 723\nSize of the tree: 812\n','Number of leaves: 729\nSize of the tree: 821\n','Number of leaves: 637\nSize of the tree: 717\n','Number of leaves: 725\nSize of the tree: 816\n','Number of leaves: 729\nSize of the tree: 820\n','Number of leaves: 705\nSize of the tree: 791\n','Number of leaves: 684\nSize of the tree: 770\n','Number of leaves: 750\nSize of the tree: 842\n','Number of leaves: 770\nSize of the tree: 865\n','Number of leaves: 838\nSize of the tree: 939\n','Number of leaves: 682\nSize of the tree: 767\n','Number of leaves: 656\nSize of the tree: 737\n','Number of leaves: 719\nSize of the tree: 807\n','Number of leaves: 693\nSize of the tree: 779\n','Number of leaves: 779\nSize of the tree: 875\n','Number of leaves: 770\nSize of the tree: 867\n','Number of leaves: 658\nSize of the tree: 741\n','Number of leaves: 648\nSize of the tree: 729\n','Number of leaves: 666\nSize of the tree: 749\n','Number of leaves: 709\nSize of the tree: 798\n','Number of leaves: 692\nSize of the tree: 778\n','Number of leaves: 685\nSize of the tree: 772\n','Number of leaves: 700\nSize of the tree: 788\n','Number of leaves: 730\nSize of the tree: 820\n','Number of leaves: 756\nSize of the tree: 849\n','Number of leaves: 686\nSize of the tree: 770\n','Number of leaves: 738\nSize of the tree: 828\n','Number of leaves: 769\nSize of the tree: 865\n','Number of leaves: 344\nSize of the tree: 386\n','Number of leaves: 322\nSize of the tree: 362\n','Number of leaves: 318\nSize of the tree: 357\n','Number of leaves: 371\nSize of the tree: 414\n','Number of leaves: 307\nSize of the tree: 345\n','Number of leaves: 350\nSize of the tree: 390\n','Number of leaves: 381\nSize of the tree: 426\n','Number of leaves: 338\nSize of the tree: 378\n','Number of leaves: 345\nSize of the tree: 388\n','Number of leaves: 339\nSize of the tree: 382\n','Number of leaves: 321\nSize of the tree: 362\n','Number of leaves: 313\nSize of the tree: 351\n','Number of leaves: 331\nSize of the tree: 370\n','Number of leaves: 315\nSize of the tree: 355\n','Number of leaves: 415\nSize of the tree: 466\n','Number of leaves: 335\nSize of the tree: 377\n','Number of leaves: 339\nSize of the tree: 380\n','Number of leaves: 347\nSize of the tree: 387\n','Number of leaves: 356\nSize of the tree: 399\n','Number of leaves: 325\nSize of the tree: 364\n','Number of leaves: 323\nSize of the tree: 360\n','Number of leaves: 317\nSize of the tree: 357\n','Number of leaves: 332\nSize of the tree: 374\n','Number of leaves: 334\nSize of the tree: 377\n','Number of leaves: 348\nSize of the tree: 390\n','Number of leaves: 319\nSize of the tree: 358\n','Number of leaves: 335\nSize of the tree: 375\n','Number of leaves: 338\nSize of the tree: 381\n','Number of leaves: 363\nSize of the tree: 408\n','Number of leaves: 349\nSize of the tree: 390\n','Number of leaves: 373\nSize of the tree: 420\n','Number of leaves: 375\nSize of the tree: 422\n','Number of leaves: 346\nSize of the tree: 387\n','Number of leaves: 341\nSize of the tree: 381\n','Number of leaves: 322\nSize of the tree: 363\n','Number of leaves: 351\nSize of the tree: 393\n','Number of leaves: 302\nSize of the tree: 338\n','Number of leaves: 358\nSize of the tree: 403\n','Number of leaves: 336\nSize of the tree: 378\n','Number of leaves: 364\nSize of the tree: 408\n','Number of leaves: 360\nSize of the tree: 405\n','Number of leaves: 328\nSize of the tree: 367\n','Number of leaves: 299\nSize of the tree: 337\n','Number of leaves: 347\nSize of the tree: 389\n','Number of leaves: 358\nSize of the tree: 402\n','Number of leaves: 304\nSize of the tree: 341\n','Number of leaves: 346\nSize of the tree: 390\n','Number of leaves: 337\nSize of the tree: 377\n','Number of leaves: 314\nSize of the tree: 354\n','Number of leaves: 342\nSize of the tree: 384\n','Number of leaves: 319\nSize of the tree: 359\n','Number of leaves: 354\nSize of the tree: 395\n','Number of leaves: 363\nSize of the tree: 409\n','Number of leaves: 341\nSize of the tree: 383\n','Number of leaves: 374\nSize of the tree: 420\n','Number of leaves: 303\nSize of the tree: 339\n','Number of leaves: 336\nSize of the tree: 374\n','Number of leaves: 327\nSize of the tree: 367\n','Number of leaves: 320\nSize of the tree: 358\n','Number of leaves: 386\nSize of the tree: 431\n','Number of leaves: 319\nSize of the tree: 356\n','Number of leaves: 338\nSize of the tree: 382\n','Number of leaves: 339\nSize of the tree: 381\n','Number of leaves: 338\nSize of the tree: 380\n','Number of leaves: 322\nSize of the tree: 359\n','Number of leaves: 330\nSize of the tree: 369\n','Number of leaves: 337\nSize of the tree: 380\n','Number of leaves: 301\nSize of the tree: 338\n','Number of leaves: 351\nSize of the tree: 394\n','Number of leaves: 334\nSize of the tree: 372\n','Number of leaves: 375\nSize of the tree: 419\n','Number of leaves: 321\nSize of the tree: 360\n','Number of leaves: 361\nSize of the tree: 404\n','Number of leaves: 329\nSize of the tree: 370\n','Number of leaves: 329\nSize of the tree: 369\n','Number of leaves: 342\nSize of the tree: 381\n','Number of leaves: 326\nSize of the tree: 367\n','Number of leaves: 333\nSize of the tree: 375\n','Number of leaves: 368\nSize of the tree: 413\n','Number of leaves: 361\nSize of the tree: 407\n','Number of leaves: 314\nSize of the tree: 352\n','Number of leaves: 289\nSize of the tree: 325\n','Number of leaves: 350\nSize of the tree: 392\n','Number of leaves: 323\nSize of the tree: 363\n','Number of leaves: 330\nSize of the tree: 370\n','Number of leaves: 346\nSize of the tree: 391\n','Number of leaves: 392\nSize of the tree: 437\n','Number of leaves: 346\nSize of the tree: 388\n','Number of leaves: 356\nSize of the tree: 400\n','Number of leaves: 345\nSize of the tree: 385\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,60,54,0,52.631579,47.368421,0,0.479496,0.051406,0.191255,61.51386,93.606088,462.833772,44096.560574,-43633.726802,4.059945,386.811935,-382.751989,208.155087,1.825922,5104.498078,0.4,2,0.045872,5,0.954128,104,0.6,3,0.285714,0.4,0.333333,0.772477,0.047,0,0.046875,0,525750,350448,55023,'Number of leaves: 712\nSize of the tree: 799\n',799,712,712
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,59,55,0,51.754386,48.245614,0,0.472355,0.047764,0.183955,57.15484,90.033409,462.833772,40874.486976,-40411.653204,4.059945,358.548131,-354.488186,228.85034,2.007459,5611.9989,0.6,3,0.018349,2,0.981651,107,0.4,2,0.6,0.6,0.6,0.787156,0.031,0,0.03125,0,509150,350448,55023,'Number of leaves: 688\nSize of the tree: 773\n',773,688,688
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,50,64,0,43.859649,56.140351,0,0.379856,0.055633,0.197959,66.577109,96.897068,462.365591,47325.522513,-46863.156921,4.055839,415.136162,-411.080324,190.565018,1.671623,4672.642977,0,0,0.018349,2,0.981651,107,1,5,0,0,0,0.588991,0.031,0,0.03125,0,514854,350448,55023,'Number of leaves: 696\nSize of the tree: 782\n',782,696,696
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,55,59,0,48.245614,51.754386,0,0.433934,0.052629,0.187262,62.977073,91.651692,462.893933,38750.098189,-38287.204255,4.060473,339.913142,-335.852669,210.412116,1.84572,5159.969762,0.5,2,0.081818,9,0.918182,101,0.5,2,0.181818,0.5,0.266667,0.839773,0.031,0,0.015625,0,505393,350448,55023,'Number of leaves: 683\nSize of the tree: 767\n',767,683,683
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,51,63,0,44.736842,55.263158,0,0.393822,0.0568,0.198154,67.956722,96.964626,463.892216,44113.457982,-43649.565766,4.06923,386.960158,-382.890928,193.134065,1.694158,4737.349542,0.75,3,0.036364,4,0.963636,106,0.25,1,0.428571,0.75,0.545455,0.855682,0.032,0,0.03125,0,488144,350448,55023,'Number of leaves: 658\nSize of the tree: 740\n',740,658,658
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,57,57,0,50,50,0,0.447731,0.051496,0.194721,61.644789,95.344725,462.020984,44098.876591,-43636.855607,4.052816,386.832251,-382.779435,204.165793,1.790928,5005.724154,0,0,0,0,1,110,1,4,0,0,0,0.495455,0.032,0,0.03125,0,568274,350448,55023,'Number of leaves: 772\nSize of the tree: 866\n',866,772,772
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,49,65,0,42.982456,57.017544,0,0.375579,0.057652,0.20576,68.993541,100.715696,462.465445,50561.566426,-50099.100981,4.056714,443.522513,-439.465798,165.365837,1.450578,4054.833001,0.5,2,0.027273,3,0.972727,107,0.5,2,0.4,0.5,0.444444,0.852273,0.015,0,0.015625,0,519909,350448,55023,'Number of leaves: 703\nSize of the tree: 790\n',790,703,703
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1024,113,55,58,0,48.672566,51.327434,0,0.433486,0.051737,0.19129,61.941444,93.677655,457.502193,48379.379396,-47921.877203,4.048692,428.136101,-424.087409,198.603933,1.757557,4868.868003,0.75,3,0.06422,7,0.93578,102,0.25,1,0.3,0.75,0.428571,0.862385,0.015,0.016,0.015625,0.015625,511097,350773,54698,'Number of leaves: 691\nSize of the tree: 776\n',776,691,691
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1024,113,51,62,0,45.132743,54.867257,0,0.3978,0.054452,0.201546,65.090395,98.528258,460.56572,47327.721435,-46867.155715,4.075803,418.829393,-414.75359,185.55912,1.642116,4552.353697,0.25,1,0.027523,3,0.972477,106,0.75,3,0.25,0.25,0.25,0.731651,0.031,0,0.015625,0,555294,350773,54698,'Number of leaves: 752\nSize of the tree: 846\n',846,752,752
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1024,113,53,60,0,46.902655,53.097345,0,0.416071,0.054758,0.198718,65.453632,97.140496,460.654926,47325.090146,-46864.435221,4.076592,418.806107,-414.729515,188.352882,1.66684,4620.996125,0.25,1,0.018349,2,0.981651,107,0.75,3,0.333333,0.25,0.285714,0.860092,0.032,0,0.015625,0,546994,350773,54698,'Number of leaves: 740\nSize of the tree: 833\n',833,740,740
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,54,60,0,47.368421,52.631579,0,0.420093,0.053189,0.194346,63.649826,95.122714,462.844861,45179.760527,-44716.915666,4.060043,396.313689,-392.253646,196.600124,1.724562,4821.189828,0.4,2,0.036697,4,0.963303,105,0.6,3,0.333333,0.4,0.363636,0.661468,0.032,0,0.03125,0,553484,350448,55023,'Number of leaves: 750\nSize of the tree: 843\n',843,750,750
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,47,67,0,41.22807,58.77193,0,0.352273,0.055407,0.200494,66.311312,98.145279,462.196118,45184.942231,-44722.746113,4.054352,396.359142,-392.30479,192.532943,1.688885,4720.711656,0.6,3,0.018349,2,0.981651,107,0.4,2,0.6,0.6,0.6,0.894495,0.031,0,0.015625,0,495658,350448,55023,'Number of leaves: 668\nSize of the tree: 752\n',752,668,668
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,54,60,0,47.368421,52.631579,0,0.41812,0.055865,0.20297,66.858963,99.357218,462.196118,51612.752351,-51150.556233,4.054352,452.743442,-448.68909,177.527447,1.557258,4352.792164,0.2,1,0.027523,3,0.972477,106,0.8,4,0.25,0.2,0.222222,0.677064,0.031,0,0.03125,0,532615,350448,55023,'Number of leaves: 721\nSize of the tree: 810\n',810,721,721
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,55,59,0,48.245614,51.754386,0,0.43029,0.053573,0.200446,64.113588,98.116746,462.285324,52676.176626,-52213.891302,4.055134,462.071725,-458.01659,181.294211,1.5903,4445.24809,0.5,2,0.036364,4,0.963636,106,0.5,2,0.333333,0.5,0.4,0.718182,0.031,0,0.03125,0,559974,350448,55023,'Number of leaves: 760\nSize of the tree: 853\n',853,760,760
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,55,59,0,48.245614,51.754386,0,0.434077,0.052295,0.190997,62.583543,93.491201,462.285324,45170.826091,-44708.540767,4.055134,396.235317,-392.180182,208.212377,1.826424,5105.268761,0.25,1,0.054545,6,0.945455,104,0.75,3,0.142857,0.25,0.181818,0.719318,0.031,0,0.03125,0,468436,350448,55023,'Number of leaves: 630\nSize of the tree: 709\n',709,630,630
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,54,60,0,47.368421,52.631579,0,0.423515,0.053241,0.19194,63.705487,93.935633,463.283607,41961.436701,-41498.153094,4.063891,368.082778,-364.018887,203.449156,1.784642,4989.626989,0.5,2,0.045455,5,0.954545,105,0.5,2,0.285714,0.5,0.363636,0.736364,0.031,0,0.03125,0,492687,350448,55023,'Number of leaves: 665\nSize of the tree: 747\n',747,665,665
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1023,114,54,60,0,47.368421,52.631579,0,0.421564,0.054474,0.196024,65.181187,95.934395,463.283607,48389.288352,-47926.004745,4.063891,424.467442,-420.40355,189.172659,1.659409,4639.493351,0.5,2,0.036364,4,0.963636,106,0.5,2,0.333333,0.5,0.4,0.731818,0.031,0,0.03125,0,542999,350448,55023,'Number of leaves: 737\nSize of the tree: 826\n',826,737,737
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20090920.0233,1024,113,55,58,0,48.672566,51.327434,0,0.439302,0.053925,0.197136,64.541391,96.506497,458.934041,47318.726868,-46859.792826,4.061363,418.749795,-414.688432,193.619856,1.71345,4748.26507,0.5,2,0.018349,2,0.981651,107,0.5,2,0.5,0.5,0.5,0.733945,0.032,0,0.015625,0,504744,350773,54698,'Number of leaves: 682\nSize of the tree: 766\n',766,682,682
