@relation InstanceResultListener

@attribute Key_Dataset {test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,test_1_new-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.functions.LibSVM,weka.classifiers.bayes.HNB}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.0010 -P 0.1',''}
@attribute Key_Scheme_version_ID {-217733168393644444,14172,-4503874444306113214}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 636\nSize of the tree: 720\n','Number of leaves: 604\nSize of the tree: 685\n','Number of leaves: 469\nSize of the tree: 531\n','Number of leaves: 494\nSize of the tree: 559\n','Number of leaves: 460\nSize of the tree: 522\n','Number of leaves: 537\nSize of the tree: 609\n','Number of leaves: 515\nSize of the tree: 583\n','Number of leaves: 517\nSize of the tree: 589\n','Number of leaves: 543\nSize of the tree: 615\n','Number of leaves: 500\nSize of the tree: 567\n','Number of leaves: 567\nSize of the tree: 643\n','Number of leaves: 523\nSize of the tree: 593\n','Number of leaves: 567\nSize of the tree: 642\n','Number of leaves: 509\nSize of the tree: 579\n','Number of leaves: 549\nSize of the tree: 622\n','Number of leaves: 457\nSize of the tree: 517\n','Number of leaves: 565\nSize of the tree: 643\n','Number of leaves: 521\nSize of the tree: 590\n','Number of leaves: 620\nSize of the tree: 702\n','Number of leaves: 515\nSize of the tree: 584\n','Number of leaves: 603\nSize of the tree: 684\n','Number of leaves: 506\nSize of the tree: 573\n','Number of leaves: 541\nSize of the tree: 614\n','Number of leaves: 468\nSize of the tree: 530\n','Number of leaves: 492\nSize of the tree: 557\n','Number of leaves: 667\nSize of the tree: 753\n','Number of leaves: 501\nSize of the tree: 568\n','Number of leaves: 561\nSize of the tree: 637\n','Number of leaves: 528\nSize of the tree: 598\n','Number of leaves: 421\nSize of the tree: 476\n','Number of leaves: 552\nSize of the tree: 625\n','Number of leaves: 424\nSize of the tree: 481\n','Number of leaves: 569\nSize of the tree: 647\n','Number of leaves: 568\nSize of the tree: 644\n','Number of leaves: 502\nSize of the tree: 569\n','Number of leaves: 533\nSize of the tree: 604\n','Number of leaves: 562\nSize of the tree: 636\n','Number of leaves: 491\nSize of the tree: 557\n','Number of leaves: 589\nSize of the tree: 665\n','Number of leaves: 536\nSize of the tree: 607\n','Number of leaves: 552\nSize of the tree: 624\n','Number of leaves: 555\nSize of the tree: 629\n','Number of leaves: 535\nSize of the tree: 606\n','Number of leaves: 514\nSize of the tree: 582\n','Number of leaves: 538\nSize of the tree: 610\n','Number of leaves: 596\nSize of the tree: 675\n','Number of leaves: 526\nSize of the tree: 596\n','Number of leaves: 450\nSize of the tree: 512\n','Number of leaves: 480\nSize of the tree: 546\n','Number of leaves: 539\nSize of the tree: 610\n','Number of leaves: 571\nSize of the tree: 649\n','Number of leaves: 447\nSize of the tree: 506\n','Number of leaves: 480\nSize of the tree: 545\n','Number of leaves: 574\nSize of the tree: 651\n','Number of leaves: 611\nSize of the tree: 694\n','Number of leaves: 549\nSize of the tree: 621\n','Number of leaves: 518\nSize of the tree: 586\n','Number of leaves: 512\nSize of the tree: 579\n','Number of leaves: 476\nSize of the tree: 541\n','Number of leaves: 481\nSize of the tree: 546\n','Number of leaves: 455\nSize of the tree: 516\n','Number of leaves: 549\nSize of the tree: 623\n','Number of leaves: 613\nSize of the tree: 693\n','Number of leaves: 542\nSize of the tree: 614\n','Number of leaves: 571\nSize of the tree: 646\n','Number of leaves: 363\nSize of the tree: 412\n','Number of leaves: 524\nSize of the tree: 594\n','Number of leaves: 516\nSize of the tree: 584\n','Number of leaves: 533\nSize of the tree: 605\n','Number of leaves: 540\nSize of the tree: 611\n','Number of leaves: 466\nSize of the tree: 528\n','Number of leaves: 430\nSize of the tree: 489\n','Number of leaves: 508\nSize of the tree: 576\n','Number of leaves: 551\nSize of the tree: 626\n','Number of leaves: 446\nSize of the tree: 506\n','Number of leaves: 515\nSize of the tree: 582\n','Number of leaves: 460\nSize of the tree: 521\n','Number of leaves: 486\nSize of the tree: 552\n','Number of leaves: 566\nSize of the tree: 644\n','Number of leaves: 449\nSize of the tree: 510\n','Number of leaves: 557\nSize of the tree: 633\n','Number of leaves: 486\nSize of the tree: 551\n','Number of leaves: 492\nSize of the tree: 560\n','Number of leaves: 510\nSize of the tree: 579\n','Number of leaves: 518\nSize of the tree: 587\n','Number of leaves: 533\nSize of the tree: 607\n','Number of leaves: 502\nSize of the tree: 570\n','Number of leaves: 520\nSize of the tree: 590\n','Number of leaves: 593\nSize of the tree: 673\n','Number of leaves: 552\nSize of the tree: 626\n','Number of leaves: 517\nSize of the tree: 587\n','Number of leaves: 240\nSize of the tree: 260\n','Number of leaves: 247\nSize of the tree: 269\n','Number of leaves: 281\nSize of the tree: 308\n','Number of leaves: 267\nSize of the tree: 290\n','Number of leaves: 232\nSize of the tree: 251\n','Number of leaves: 238\nSize of the tree: 258\n','Number of leaves: 251\nSize of the tree: 273\n','Number of leaves: 265\nSize of the tree: 288\n','Number of leaves: 285\nSize of the tree: 311\n','Number of leaves: 272\nSize of the tree: 297\n','Number of leaves: 245\nSize of the tree: 266\n','Number of leaves: 240\nSize of the tree: 261\n','Number of leaves: 259\nSize of the tree: 282\n','Number of leaves: 261\nSize of the tree: 283\n','Number of leaves: 257\nSize of the tree: 279\n','Number of leaves: 271\nSize of the tree: 295\n','Number of leaves: 234\nSize of the tree: 254\n','Number of leaves: 262\nSize of the tree: 285\n','Number of leaves: 226\nSize of the tree: 244\n','Number of leaves: 239\nSize of the tree: 259\n','Number of leaves: 271\nSize of the tree: 296\n','Number of leaves: 263\nSize of the tree: 288\n','Number of leaves: 263\nSize of the tree: 286\n','Number of leaves: 277\nSize of the tree: 302\n','Number of leaves: 289\nSize of the tree: 315\n','Number of leaves: 235\nSize of the tree: 255\n','Number of leaves: 258\nSize of the tree: 281\n','Number of leaves: 249\nSize of the tree: 270\n','Number of leaves: 245\nSize of the tree: 265\n','Number of leaves: 253\nSize of the tree: 275\n','Number of leaves: 270\nSize of the tree: 294\n','Number of leaves: 284\nSize of the tree: 310\n','Number of leaves: 244\nSize of the tree: 265\n','Number of leaves: 237\nSize of the tree: 257\n','Number of leaves: 237\nSize of the tree: 256\n','Number of leaves: 275\nSize of the tree: 300\n','Number of leaves: 252\nSize of the tree: 274\n','Number of leaves: 273\nSize of the tree: 298\n','Number of leaves: 279\nSize of the tree: 304\n','Number of leaves: 234\nSize of the tree: 253\n','Number of leaves: 268\nSize of the tree: 292\n','Number of leaves: 248\nSize of the tree: 269\n','Number of leaves: 267\nSize of the tree: 291\n','Number of leaves: 247\nSize of the tree: 268\n','Number of leaves: 289\nSize of the tree: 316\n','Number of leaves: 242\nSize of the tree: 263\n','Number of leaves: 251\nSize of the tree: 272\n','Number of leaves: 269\nSize of the tree: 293\n','Number of leaves: 264\nSize of the tree: 288\n','Number of leaves: 282\nSize of the tree: 307\n','Number of leaves: 246\nSize of the tree: 267\n','Number of leaves: 254\nSize of the tree: 276\n','Number of leaves: 270\nSize of the tree: 295\n','Number of leaves: 272\nSize of the tree: 296\n','Number of leaves: 250\nSize of the tree: 271\n','Number of leaves: 248\nSize of the tree: 270\n','Number of leaves: 228\nSize of the tree: 247\n','Number of leaves: 281\nSize of the tree: 307\n','Number of leaves: 264\nSize of the tree: 287\n','Number of leaves: 229\nSize of the tree: 248\n','Number of leaves: 257\nSize of the tree: 280\n','Number of leaves: 230\nSize of the tree: 249\n','Number of leaves: 226\nSize of the tree: 245\n','Number of leaves: 286\nSize of the tree: 312\n','Number of leaves: 232\nSize of the tree: 252\n','Number of leaves: 256\nSize of the tree: 279\n','Number of leaves: 258\nSize of the tree: 280\n','Number of leaves: 278\nSize of the tree: 303\n','Number of leaves: 236\nSize of the tree: 257\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,55,45,0,55,45,0,0.5,0.102322,0.277558,56.845339,92.519024,332.195997,31206.793929,-30874.597932,3.32196,312.067939,-308.745979,172.432835,1.724328,5190.795075,0.3,3,0.088889,8,0.911111,82,0.7,7,0.272727,0.3,0.285714,0.723889,0.047,0,0.046875,0,274849,308982,49632,'Number of leaves: 636\nSize of the tree: 720\n',720,636,636
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,53,47,0,53,47,0,0.477778,0.096447,0.262565,53.581858,87.521568,332.195997,25841.287666,-25509.09167,3.32196,258.412877,-255.090917,184.36006,1.843601,5549.843739,0.3,3,0.111111,10,0.888889,80,0.7,7,0.230769,0.3,0.26087,0.719444,0.016,0,0.015625,0,262337,308982,49632,'Number of leaves: 604\nSize of the tree: 685\n',685,604,604
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,57,43,0,57,43,0,0.522222,0.097771,0.268435,54.317119,89.478034,332.195997,27986.971273,-27654.775276,3.32196,279.869713,-276.547753,181.828803,1.818288,5473.64458,0.2,2,0.022222,2,0.977778,88,0.8,8,0.5,0.2,0.285714,0.686667,0.031,0,0.015625,0,207522,308982,49632,'Number of leaves: 469\nSize of the tree: 531\n',531,469,469
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,54,46,0,54,46,0,0.488889,0.098123,0.258781,54.512617,86.259991,332.195997,25841.49957,-25509.303573,3.32196,258.414996,-255.093036,185.077058,1.850771,5571.427731,0.5,5,0.033333,3,0.966667,87,0.5,5,0.625,0.5,0.555556,0.832222,0.031,0,0.015625,0,217507,308982,49632,'Number of leaves: 494\nSize of the tree: 559\n',559,494,494
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,50,50,0,50,50,0,0.444444,0.106281,0.285498,59.045277,95.165641,332.195997,31214.401016,-30882.205019,3.32196,312.14401,-308.82205,164.664487,1.646645,4956.942258,0.7,7,0.055556,5,0.944444,85,0.3,3,0.583333,0.7,0.636364,0.850556,0.015,0,0.015625,0,204273,308982,49632,'Number of leaves: 460\nSize of the tree: 522\n',522,460,460
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,56,44,0,56,44,0,0.511111,0.091803,0.260452,51.001892,86.817068,332.195997,26914.886275,-26582.690278,3.32196,269.148863,-265.826903,186.884416,1.868844,5625.835156,0.5,5,0.077778,7,0.922222,83,0.5,5,0.416667,0.5,0.454545,0.725556,0.016,0,0.015625,0,235270,308982,49632,'Number of leaves: 537\nSize of the tree: 609\n',609,537,537
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,51,49,0,51,49,0,0.455556,0.108027,0.283972,60.014946,94.65714,332.195997,34427.923299,-34095.727302,3.32196,344.279233,-340.957273,161.752645,1.617526,4869.286257,0.3,3,0.077778,7,0.922222,83,0.7,7,0.3,0.3,0.3,0.652222,0.016,0.015,0.015625,0.015625,226048,308982,49632,'Number of leaves: 515\nSize of the tree: 583\n',583,515,515
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,47,53,0,47,53,0,0.411111,0.111145,0.293028,61.747044,97.675871,332.195997,36581.367762,-36249.171765,3.32196,365.813678,-362.491718,153.878246,1.538782,4632.240956,0.4,4,0.133333,12,0.866667,78,0.6,6,0.25,0.4,0.307692,0.648333,0.032,0,0.03125,0,228050,308982,49632,'Number of leaves: 517\nSize of the tree: 589\n',589,517,517
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,899,99,58,41,0,58.585859,41.414141,0,0.539692,0.09161,0.260567,50.894835,86.856662,328.857316,26904.984619,-26576.127303,3.321791,271.767521,-268.44573,189.095641,1.910057,5692.35951,0.5,5,0.044944,4,0.955056,85,0.5,5,0.555556,0.5,0.526316,0.830337,0.016,0,0.015625,0,237436,309307,49307,'Number of leaves: 543\nSize of the tree: 615\n',615,543,543
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,899,99,63,36,0,63.636364,36.363636,0,0.595918,0.085808,0.24532,47.671855,81.77413,328.857316,29032.867777,-28704.010461,3.321791,293.261291,-289.9395,200.84029,2.02869,6045.909517,0.4,4,0.067416,6,0.932584,83,0.6,6,0.4,0.4,0.4,0.689888,0.015,0,0.015625,0,220313,309307,49307,'Number of leaves: 500\nSize of the tree: 567\n',567,500,500
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,55,45,0,55,45,0,0.5,0.100144,0.271461,55.635751,90.486658,332.195997,29059.922875,-28727.726878,3.32196,290.599229,-287.277269,179.810684,1.798107,5412.892557,0.3,3,0.1,9,0.9,81,0.7,7,0.25,0.3,0.272727,0.768333,0.031,0,0.03125,0,247380,308982,49632,'Number of leaves: 567\nSize of the tree: 643\n',643,567,567
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,56,44,0,56,44,0,0.511111,0.093998,0.270666,52.221232,90.221815,332.195997,31194.766258,-30862.570261,3.32196,311.947663,-308.625703,183.268957,1.83269,5516.997955,0.5,5,0.055556,5,0.944444,85,0.5,5,0.5,0.5,0.5,0.772222,0.015,0,0.015625,0,229576,308982,49632,'Number of leaves: 523\nSize of the tree: 593\n',593,523,523
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,53,47,0,53,47,0,0.477778,0.100969,0.274728,56.093634,91.575622,332.195997,32273.045896,-31940.849899,3.32196,322.730459,-319.408499,176.133381,1.761334,5302.193673,0.3,3,0.055556,5,0.944444,85,0.7,7,0.375,0.3,0.333333,0.660556,0.016,0,0.015625,0,247060,308982,49632,'Number of leaves: 567\nSize of the tree: 642\n',642,567,567
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,55,45,0,55,45,0,0.5,0.098273,0.265081,54.595967,88.360119,332.195997,29054.813033,-28722.617036,3.32196,290.54813,-287.22617,182.560175,1.825602,5495.661272,0.5,5,0.111111,10,0.888889,80,0.5,5,0.333333,0.5,0.4,0.748333,0.031,0,0.03125,0,224522,308982,49632,'Number of leaves: 509\nSize of the tree: 579\n',579,509,509
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,56,44,0,56,44,0,0.511111,0.100242,0.27958,55.689858,93.193246,332.195997,36558.715311,-36226.519314,3.32196,365.587153,-362.265193,174.859307,1.748593,5263.83985,0.4,4,0.033333,3,0.966667,87,0.6,6,0.571429,0.4,0.470588,0.710556,0.016,0,0.015625,0,239922,308982,49632,'Number of leaves: 549\nSize of the tree: 622\n',622,549,549
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,57,43,0,57,43,0,0.522222,0.099113,0.261858,55.062873,87.285691,332.195997,24767.646814,-24435.450817,3.32196,247.676468,-244.354508,186.921432,1.869214,5626.949442,0.5,5,0.066667,6,0.933333,84,0.5,5,0.454545,0.5,0.47619,0.784444,0.016,0,0.015625,0,202550,308982,49632,'Number of leaves: 457\nSize of the tree: 517\n',517,457,457
test_1-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20091016.0748,898,100,53,47,0,53,47,0,0.477778,0.102998,0.276998,57.221103,92.332579,332.195997,35488.774375,-35156.578378,3.32196,354.887744,-351.565784,171.50702,1.71507,5162.924992,0.4,4,0.077778,7,0.922222,83,0.6,6,0.363636,0.4,0.380952,0.743333,0.031,0,0.03125,0,247298,308982,49632,'Number of leaves: 565\nSize of the tree: 643\n',643,565,565
